"OrganizationLogin","RepositoryName","ReviewerLogin","HtmlUrl","Body"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/2638#issuecomment-925201834","Test is failing @PureWeen "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/7689#discussion_r889190025","Windows is already doing this. "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3132#issuecomment-952831053","Should we target this to preview10 branch ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/8269#issuecomment-1164257179","Do we have the same issue with collectionView ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/2551#discussion_r712440022","Should this have a Disconnect ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/4784#issuecomment-1047144772","Build is failing 

```
         D:\a\_work\1\s\src\Controls\samples\Controls.Sample\Controls\BordelessEntry\BordelessEntryHandler.cs(8,166): error CS0117: 'EntryHandler' does not contain a definition for 'Mapper' [D:\a\_work\1\s\src\Controls\samples\Controls.Sample\Maui.Controls.Sample.csproj]
```"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/5577#issuecomment-1081599658","Failing tests are normal for now.. "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/4630#discussion_r805893844","```suggestion
		void PlatformStop()
```"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/557#discussion_r597862135","Shouldn't this be MauiCheckBox?"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3351#discussion_r747510450","can this be internal also ? "
